Plant,DateTime,LightIntensity,Temperature,WaterLevel,Humidity,WindSpeed,HeightGrowth
Domates,2024-01-01 00:00:00,6906.27,24.44,7.36,59.54,14.63,1.72
Biber,2024-01-01 00:00:00,4556.16,29.04,6.63,43.11,5.84,1.87
Nane,2024-01-01 00:00:00,3611.4,24.65,5.79,71.99,4.11,0.74
Domates,2024-01-01 06:00:00,5951.53,27.32,5.39,68.81,2.99,1.55
Biber,2024-01-01 06:00:00,5006.45,24.03,7.74,52.52,2.02,2.46
Nane,2024-01-01 06:00:00,5335.42,18.88,5.36,71.37,5.43,1.36
Domates,2024-01-01 12:00:00,5828.18,21.84,5.49,68.61,8.91,1.16
Biber,2024-01-01 12:00:00,5239.18,26.97,8.84,57.58,9.73,0.85
Nane,2024-01-01 12:00:00,3995.13,24.6,3.58,73.62,4.39,0.56
Domates,2024-01-01 18:00:00,7636.29,26.38,7.76,69.42,13.36,1.59
Biber,2024-01-01 18:00:00,4881.68,20.99,6.77,53.2,1.65,1.69
Nane,2024-01-01 18:00:00,4006.09,20.73,5.93,61.09,5.91,0.75
Domates,2024-01-02 00:00:00,7787.44,23.52,5.49,62.51,5.9,1.57
Biber,2024-01-02 00:00:00,5539.21,27.13,8.86,56.84,6.4,2.04
Nane,2024-01-02 00:00:00,3533.68,24.51,4.12,63.77,6.43,0.84
Domates,2024-01-02 06:00:00,7978.02,20.02,6.51,53.54,6.46,2.46
Biber,2024-01-02 06:00:00,6323.15,20.06,8.34,41.81,7.47,1.08
Nane,2024-01-02 06:00:00,5671.74,15.74,4.18,69.49,4.1,0.66
Domates,2024-01-02 12:00:00,6224.78,21.48,5.12,50.87,11.36,1.06
Biber,2024-01-02 12:00:00,6629.64,21.49,8.24,58.44,1.49,2.29
Nane,2024-01-02 12:00:00,3359.13,22.91,4.93,62.39,1.55,0.65
Domates,2024-01-02 18:00:00,6884.11,21.52,5.36,63.92,9.04,2.68
Biber,2024-01-02 18:00:00,5473.93,27.98,6.32,58.06,7.82,2.37
Nane,2024-01-02 18:00:00,3359.18,23.97,5.72,63.7,2.75,1.43
Domates,2024-01-03 00:00:00,5101.01,21.01,5.01,65.68,13.55,2.31
Biber,2024-01-03 00:00:00,4697.72,24.88,8.21,51.0,1.16,1.71
Nane,2024-01-03 00:00:00,4257.48,21.82,5.78,62.36,6.62,0.73
